@relation Output

@attribute nHBAcc numeric
@attribute nHBDon numeric
@attribute naAromAtom numeric
@attribute nAtomP numeric
@attribute nB numeric
@attribute nAromBond numeric
@attribute nRotB numeric
@attribute ALogP numeric
@attribute ALogp2 numeric
@attribute AMR numeric
@attribute XLogP numeric
@attribute MLogP numeric
@attribute apol numeric
@attribute TopoPSA numeric
@attribute MW numeric
@attribute bpol numeric
@attribute ATSc1 numeric
@attribute ATSc2 numeric
@attribute ATSc3 numeric
@attribute ATSc4 numeric
@attribute ATSc5 numeric
@attribute ATSm1 numeric
@attribute ATSm2 numeric
@attribute ATSm3 numeric
@attribute ATSm4 numeric
@attribute ATSm5 numeric
@attribute nAcid numeric
@attribute nBase numeric
@attribute MOMI-X numeric
@attribute MOMI-Y numeric
@attribute MOMI-Z numeric
@attribute MOMI-XY numeric
@attribute MOMI-XZ numeric
@attribute MOMI-YZ numeric
@attribute MOMI-R numeric
@attribute AllSurfaceArea numeric
@attribute Association {Yes}

@data
5,1,0,4,31,0,7,-0.0992,0.009841,105.6455,4.574,3.55,70.254548,72.83,404.256275,45.103452,0.620561,-0.307273,0.092195,-0.183418,0.099151,32.872345,33.324644,48.869858,51.649288,50.866134,0,0,6917.672698,4695.328488,2222.34421,1.47331,3.112782,2.112782,8.045093,608.285813,Yes
2,1,12,8,25,12,6,3.1064,9.649721,88.955,3.071,3.11,52.282239,39.72,313.167794,31.551761,0.544397,-0.252041,-0.267822,0.336916,-0.056606,25.683387,27.324916,35.653284,37.925317,36.040563,0,1,3842.34601,2237.036443,1605.309567,1.717605,2.393523,1.393523,6.937496,578.169336,Yes
4,2,12,6,21,12,2,2.3123,5.346731,68.3813,2.653,2.67,38.205516,58.2,252.089878,16.354484,0.3607,-0.215547,0.127211,-0.16348,0.068902,21.268899,22.328912,33.017185,35.211013,37.096476,0,0,2054.890445,1129.59378,925.296665,1.819141,2.220791,1.220791,5.67119,465.339592,Yes
0,2,12,16,21,12,4,3.7588,14.128577,83.0116,5.556,3.22,46.61986,40.46,268.14633,21.86414,0.112795,-0.035433,-0.020853,-0.005032,-0.004841,21.548938,21.664184,29.328368,31.328368,28.664184,0,0,2805.341568,1543.749536,1261.592032,1.817226,2.223652,1.223652,6.424622,527.313611,Yes
1,0,23,6,28,23,4,5.3503,28.62571,102.0368,6.14,3.55,54.435481,17.82,344.108026,22.304519,0.172929,-0.1282,0.062431,-0.038493,0.038257,33.432911,30.78268,44.094431,51.018585,64.793251,0,0,3332.853039,1742.045364,1590.807674,1.913184,2.09507,1.09507,6.189963,529.981412,Yes
3,2,6,7,19,6,9,1.0426,1.087015,76.6505,1.628,2.67,46.575825,50.72,267.183444,31.822175,0.486455,-0.213926,-0.149759,0.104556,0.093026,21.683387,20.992824,25.491098,23.82248,20.213921,0,1,6259.493979,5991.375305,268.118674,1.044751,23.345983,22.345983,7.12493,667.049296,Yes
5,2,20,26,31,22,5,4.329,18.740241,108.2204,3.847,3,58.235067,88.7,393.114713,31.802933,0.45136,-0.216319,-0.024079,0.009205,0.046691,37.531101,41.391133,51.707547,53.381765,52.741202,0,0,7250.634426,5899.013856,1351.62057,1.229127,5.364401,4.364401,7.86192,642.990758,Yes
3,1,6,9,17,6,6,2.6607,7.079324,70.3641,2.099,2.67,42.311446,32.34,234.173214,27.648554,0.266121,-0.14797,-0.057056,0.133665,-0.045367,18.49443,18.163002,23.882645,24.910262,21.993096,0,1,2561.268012,2215.828199,345.439813,1.155896,7.414513,6.414513,5.795335,608.362414,Yes
2,1,6,7,21,6,5,0.6105,0.37271,76.2976,2.829,3,50.627411,32.7,277.204179,33.412589,0.320668,-0.164024,-0.012356,-0.018523,0.088264,21.908918,22.494822,30.826642,32.324916,31.546557,0,1,2892.982291,2125.262598,767.719693,1.361235,3.768279,2.768279,6.166615,561.962465,Yes
2,2,6,8,25,6,0,1.2844,1.649683,79.341,0.49,2.89,46.095067,52.93,285.136494,24.666933,0.393711,-0.151501,-0.163369,0.210577,-0.072303,23.683387,26.826914,44.155282,54.036312,48.649831,0,1,2806.729554,1633.442959,1173.286595,1.718291,2.392194,1.392194,6.2141,519.609918,Yes
