@relation Output

@attribute nHBAcc numeric
@attribute nHBDon numeric
@attribute naAromAtom numeric
@attribute nAtomP numeric
@attribute nB numeric
@attribute nAromBond numeric
@attribute nRotB numeric
@attribute ALogP numeric
@attribute ALogp2 numeric
@attribute AMR numeric
@attribute XLogP numeric
@attribute MLogP numeric
@attribute apol numeric
@attribute TopoPSA numeric
@attribute MW numeric
@attribute bpol numeric
@attribute ATSc1 numeric
@attribute ATSc2 numeric
@attribute ATSc3 numeric
@attribute ATSc4 numeric
@attribute ATSc5 numeric
@attribute ATSm1 numeric
@attribute ATSm2 numeric
@attribute ATSm3 numeric
@attribute ATSm4 numeric
@attribute ATSm5 numeric
@attribute nAcid numeric
@attribute nBase numeric
@attribute MOMI-X numeric
@attribute MOMI-Y numeric
@attribute MOMI-Z numeric
@attribute MOMI-XY numeric
@attribute MOMI-XZ numeric
@attribute MOMI-YZ numeric
@attribute MOMI-R numeric
@attribute AllSurfaceArea numeric
@attribute Association {Yes,No}

@data
23,5,0,3,85,0,15,-3.1214,9.743138,318.9594,8.407,5.75,204.858023,278.8,1201.841369,148.383977,2.262532,-1.241788,-0.052118,1.367504,-2.255536,98.253412,93.80438,136.723095,174.219812,205.902902,0,0,57283.030748,34515.391449,22767.639299,1.659637,2.515985,1.515985,13.63816,1521.491754,?
9,5,0,3,19,0,11,-2.7457,7.538868,65.6159,-4.23,1.46,39.947481,197.62,307.083806,25.356519,0.831149,-0.338743,-0.11123,0.252759,-0.35329,31.854508,23.493247,31.481472,33.401626,31.993195,2,1,6789.332439,6300.080417,489.252023,1.077658,13.876963,12.876963,7.509466,619.957861,?
9,4,18,6,49,18,14,2.8302,8.010032,174.2531,2.909,4.43,103.407271,118.03,613.362805,59.896729,0.797527,-0.377282,-0.164781,0.279028,-0.059501,49.897778,52.322551,74.758386,75.031264,77.414895,0,2,23328.979843,19592.411263,3736.56858,1.190715,6.243423,5.243423,11.066338,959.505515,?
3,1,15,18,27,16,5,4.7768,22.817818,95.0305,3.418,2.89,50.596688,68.53,357.076786,23.723312,0.550709,-0.288409,0.029008,0.010571,-0.013803,36.170806,31.110776,46.722841,49.391187,47.601602,1,0,6619.645793,5337.035219,1282.610573,1.240323,5.161072,4.161072,7.920952,642.332946,?
5,3,6,10,14,6,4,-0.0121,0.000146,49.943,-2.174,1.9,27.11393,92.42,194.069142,12.84807,0.406705,-0.192138,-0.018588,0.100952,-0.170396,17.043368,15.494822,20.988934,18.767927,14.159006,1,0,2227.285322,1957.851565,269.433758,1.137617,8.266541,7.266541,5.845338,507.174668,?
4,2,10,15,29,11,3,1.7105,2.92581,89.1405,4.526,2.78,54.372446,74.57,359.16452,31.789554,0.613541,-0.24565,-0.082177,-0.145375,0.243597,30.905392,31.907517,46.26059,55.769994,57.387813,1,1,5778.297738,4386.62457,1391.673168,1.317254,4.152051,3.152051,7.575032,634.047757,?
2,0,0,4,26,0,1,0.9172,0.841256,91.9078,4.826,3.55,58.56779,34.14,314.22458,34.71221,0.244008,-0.059003,-0.063039,0.011226,-0.006763,24.548938,26.664184,43.328368,49.328368,43.992552,0,0,4188.594143,3645.826656,542.767487,1.148874,7.717106,6.717106,6.361793,503.654596,?
8,5,5,5,16,5,4,-1.3105,1.71741,51.0105,-4.182,0.8,30.54193,172.73,271.996324,31.10807,0.846197,-0.293595,-0.079413,-0.43792,0.572981,33.442071,34.93219,47.50858,50.985311,40.436715,4,0,1666.361665,1073.805501,592.556164,1.551828,2.812158,1.812158,4.853732,367.375243,?
