nHBAcc,nHBDon,naAromAtom,nAtomP,nB,nAromBond,nRotB,ALogP,ALogp2,AMR,XLogP,MLogP,apol,TopoPSA,MW,bpol,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,nAcid,nBase,MOMI-X,MOMI-Y,MOMI-Z,MOMI-XY,MOMI-XZ,MOMI-YZ,MOMI-R,AllSurfaceArea,BE0001061,BE0001188,BE0003640,BE0003648,BE0003647,BE0001004,BE0003659,BE0001042,BE0003644,BE0003667,BE0003668,BE0001069,BE0003657,BE0001067,BE0000703,BE0001032
4,2,11,7,19,11,4,-1.6344,2.67126336,71.7048,0.379,2.12,40.557481,104.15,265.1123073,24.824519,0.399244927,-0.226142868,0.087828027,-0.214332426,0.229350906,26.34214328,24.00111785,33.83453373,32.00326692,26.3305617,0,1,3413.148046,3058.04233,355.1057162,1.11612191,9.611639268,8.611639268,6.056635673,528.3707076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,2,7,0,2,-1.6062,2.57987844,26.6254,-3.496,1.46,16.547137,83.55,119.0582432,10.136863,0.334403721,-0.083729577,-0.096928992,-0.061493628,0.074950337,10.68338741,8.162457865,11.43520081,10.82284266,6.213122025,1,1,446.1780906,282.8306972,163.3473934,1.577544782,2.731467465,1.731467465,3.804211573,341.2365952,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,6,16,12,34,17,10,-0.1085,0.01177225,105.9141,-1.884,2.12,58.621067,213.28,441.1396815,29.882933,1.075996546,-0.563287598,-0.00801646,0.137805985,-0.039954747,39.16667632,38.15291699,55.4148814,56.41568086,51.05515678,2,0,20584.43957,19664.72245,919.717125,1.046769901,22.38127248,21.38127248,10.12306502,869.7470627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,2,5,0,1,-1.0955,1.20012025,20.6629,-2.824,1.46,12.651551,63.32,89.04767852,7.950449,0.239825624,-0.088927963,-0.067949037,0.036964188,0,7.908918372,5.830365887,7.771016856,5.771107148,0,1,1,240.7821849,143.3876335,97.39455143,1.679239548,2.472234652,1.472234652,3.251524639,314.4113945,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2,0,2,7,0,2,-0.5739,0.32936121,29.032,-2.169,1.68,18.838723,63.32,117.0789787,12.323277,0.23954119,-0.089580149,-0.067930296,0.039470718,-0.001730869,9.908918372,7.830365887,10.77101686,10.10347101,5.328367909,1,1,427.2103989,274.4929524,152.7174465,1.556361995,2.797390924,1.797390924,3.747348183,339.1140566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,2,8,0,3,-1.2501,1.56275001,32.1098,-1.6,1.79,21.932309,63.32,131.0946288,14.509691,0.239540862,-0.08958204,-0.067940767,0.039470384,-0.001690392,10.90891837,8.830365887,11.77101686,12.10347101,7.494549842,1,1,603.8646989,450.8039496,153.0607493,1.339528412,3.945261614,2.945261614,4.076548821,385.0484936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,6,6,21,6,9,-0.1561,0.02436721,72.5286,-0.077,2.23,42.852274,118.72,294.1215718,24.467726,0.713207019,-0.330677204,0.029641421,0.060243143,-0.36271142,25.59230578,23.49109766,31.59376922,31.84355473,30.92666065,1,1,4781.002103,4285.363156,495.6389472,1.115658564,9.646138847,8.646138847,6.801976462,523.2954074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,3,8,0,1,-1.3817,1.90909489,24.3775,-0.185,1.68,17.505137,49.33,115.0633286,11.456863,0.269548639,-0.123557583,-0.074647272,0.108517643,-0.045087108,9.908918372,8.996547821,11.93719879,7.771107148,5.328367909,1,1,441.3655937,335.8952319,105.4703619,1.313997794,4.184735749,3.184735749,3.695502981,402.8180535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,2,8,0,3,-1.7468,3.05131024,26.7549,-4.435,1.35,16.980344,106.41,132.0534922,9.341656,0.396409457,-0.125649971,-0.030795795,-0.013312086,-0.166739095,12.04336771,9.328639798,12.82275236,10.43556299,8.075899763,1,1,709.8413217,558.7313199,151.1100017,1.270451998,4.697513821,3.697513821,4.315401457,345.9102542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,0,4,31,0,11,-1.8959,3.59443681,105.0247,2.275,3.22,70.098548,124.29,424.2461038,43.187452,0.707501184,-0.286658753,0.047166908,-0.226978986,0.214434627,35.42128325,33.65673582,48.5340418,51.31347163,55.0792558,1,0,9654.957794,7590.882462,2064.075332,1.27191507,4.677618904,3.677618904,8.883941,656.297334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,9,22,6,10,1.1983,1.43592289,75.9332,3.242,2.34,45.877653,56.84,318.1555127,29.738347,0.597871823,-0.293578648,-0.046724272,0.021872137,0.043369283,28.77503109,25.62745673,35.91249142,33.70517593,31.67760468,0,1,6648.205553,4873.463691,1774.741862,1.364164376,3.746012699,2.746012699,8.731316543,618.7599078,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1
7,2,17,17,34,17,11,1.9862,3.94499044,122.7843,5.907,3.22,69.482997,112.07,435.22704,36.259003,0.477891183,-0.263035176,0.013200344,0.126994838,-0.199447196,36.12330861,36.9071265,50.73360293,53.59538434,61.14546886,3,0,9489.902131,7290.551713,2199.350419,1.301671328,4.314865904,3.314865904,8.779734645,808.2564325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,2,6,6,32,6,11,-0.4261,0.18156121,104.4117,2.885,3.22,68.027376,95.94,416.2311224,42.412624,0.752414765,-0.408134604,-0.095702808,0.424683823,-0.331339386,34.59230578,34.82346153,49.59058893,51.44875184,51.1443813,1,1,8580.006596,6209.096191,2370.910405,1.381844689,3.618865807,2.618865807,8.703444192,842.4252695,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3,2,6,6,14,6,4,1.2166,1.48011556,53.8324,1.334,2.12,30.485516,63.32,213.0556564,13.836484,0.251962881,-0.105518732,0.006454813,-0.004743965,-0.064155318,23.62186828,16.78213653,23.5083762,21.9000891,18.77868435,1,1,2371.335661,2121.74847,249.5871909,1.117632789,9.501031093,8.501031093,5.641027731,463.4617627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,6,10,6,2,0.9876,0.97535376,43.9812,1.762,2.34,25.608309,26.02,135.1047995,13.551691,0.029961281,-0.00714539,-0.01026796,0.001467608,8.90E-04,10.3599803,10.16618193,12.33236387,9.166181933,7.332363866,0,1,709.6641321,583.8628682,125.8012639,1.215463717,5.641152642,4.641152642,4.168303144,435.2566339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,6,6,13,6,1,0.0243,5.90E-04,45.9682,1.13,2.34,29.135102,16.13,162.1156986,18.604898,0.171601851,-0.105245508,0.01892732,-0.033083839,0.080397838,12.7199606,13.83090967,17.83090967,14.66472773,11.69234417,0,1,989.9857912,782.0325509,207.9532403,1.265913791,4.760617289,3.760617289,4.592092312,441.3062287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,16,6,24,16,5,1.0052,1.01042704,76.4747,0.383,1.9,39.397516,81.65,306.1040655,22.124484,0.576826525,-0.283380521,0.010781182,-0.047208865,0.029265128,27.93843912,27.87744213,40.09279305,36.00948817,43.39335858,0,0,3764.959412,2023.489755,1741.469658,1.860626872,2.161943733,1.161943733,6.971317882,508.0815659,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3,2,12,8,34,12,5,5.1698,26.72683204,119.9005,3.603,3.33,68.253411,110.16,441.1609942,38.204589,0.659986234,-0.317997032,0.036364928,-0.046452775,-0.05816697,41.36007852,39.99657812,63.93554201,63.48030726,52.2653251,0,0,15179.17095,14121.95579,1057.215166,1.074863226,14.35769316,13.35769316,9.319066107,810.9967112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,2,0,5,22,0,9,-1.6077,2.58469929,80.1654,1.052,2.56,52.238204,90.65,312.2049076,36.357796,0.643883657,-0.347600455,0.058656102,0.083543753,-0.370430394,25.81783674,24.49109766,33.81557612,36.8990894,37.70529103,0,1,4209.103703,3200.533515,1008.570189,1.315125645,4.173337415,3.173337415,6.930316325,566.4695544,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
14,5,0,3,53,0,7,-2.4621,6.06193641,181.4808,1.141,3.99,121.321131,193.91,733.4612417,88.636869,1.756091371,-0.738111336,-0.268426854,-0.060230976,0.534467214,61.42807776,59.80829337,95.61480622,121.2549718,126.3138835,0,1,18844.24181,11070.00093,7774.240875,1.702280056,2.42393336,1.42393336,10.03295121,954.2439114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,9,11,15,10,0,0.8565,0.73359225,42.9263,1.552,1.68,26.75193,61.82,194.0803756,20.10807,0.527095476,-0.431025206,0.377406093,-0.332663005,0.119802352,16.98885928,17.49218522,26.90332734,30.09370344,23.78820166,0,0,1240.126236,761.0428719,479.0833638,1.629509035,2.588539552,1.588539552,4.985133249,458.3172166,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6,1,15,21,36,16,7,1.526,2.328676,123.3377,3.108,2.67,71.43179,121.8,474.2049247,50.06621,0.795360672,-0.425749091,0.005819599,0.075778384,-0.018119748,44.38551099,48.24647881,67.29161967,73.98390252,72.50468509,0,1,11616.68948,9733.96988,1882.719602,1.193417447,6.170164408,5.170164408,8.895353382,818.3350871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1,15,12,49,16,10,3.8668,14.95214224,158.5172,3.631,3.88,94.16972,117.78,608.2733812,61.69628,1.477244736,-0.841041475,0.01961503,0.255435057,-0.409941868,51.69018192,55.1443813,80.19186517,97.48477641,100.8369915,0,1,26287.49925,23619.71902,2667.780229,1.112947162,9.853697452,8.853697452,11.05603745,943.9216524,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5,0,3,54,0,7,-2.5265,6.38320225,188.5654,1.888,4.1,126.713096,180.08,748.5085263,95.124904,1.728255012,-0.785134451,-0.309680029,0.029863657,0.536271682,62.01358903,60.97474719,96.44916806,120.6465193,126.9272379,0,2,17684.93267,10367.72722,7317.205445,1.70576755,2.416897107,1.416897107,9.622624962,928.7788568,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
4,3,6,8,18,6,7,-0.1894,0.03587236,65.2736,-0.46,2.12,38.530274,93.81,254.1266572,24.467726,0.617599877,-0.280855929,-0.067318826,0.061200307,-0.143089959,21.81783674,20.49109766,26.37665124,29.28982125,25.92975065,0,1,3445.193737,2956.205741,488.987996,1.165410678,7.04555892,6.04555892,6.498341598,544.9784917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,15,12,28,16,7,3.4133,11.65061689,91.2461,0.513,2.12,48.683895,105.54,383.0751335,32.230105,0.956711349,-0.571367967,0.001433868,0.14933313,-0.101609403,39.30965836,38.04918355,52.79289605,54.20915231,54.87689292,0,0,9842.046621,9226.917245,615.1293764,1.066666836,15.99996196,14.99996196,7.918860083,733.0383186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,12,8,26,12,5,3.174,10.074276,91.6136,3.537,3.22,52.761653,36.26,324.1637917,28.716347,0.420328158,-0.207696151,3.39E-04,0.020450279,-0.042629801,26.99647378,27.9106968,39.824302,42.32257591,39.7407908,0,1,4939.60821,3950.303371,989.3048383,1.250437687,4.993009251,3.993009251,7.211293324,587.6321733,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3,1,15,9,30,16,6,2.9781,8.86907961,105.6367,3.906,3.33,62.760618,61.55,382.1714993,37.539382,0.291139296,-0.110981495,-0.024992348,-0.013738587,-0.013219014,35.39665171,39.28327898,51.10928416,47.66663521,41.66663521,0,1,10076.61404,9319.545415,757.0686271,1.081234502,13.31004044,12.31004044,8.25337385,820.1999414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,4,12,10,43,12,12,3.099,9.603801,154.8333,5.996,4.1,95.733685,127.2,567.3130783,56.690315,0.607701838,-0.290195321,-0.105742123,0.292888036,-0.258881301,50.30557008,48.83121185,70.93683194,76.2952773,76.06720827,0,1,15066.29562,10626.94032,4439.355294,1.417745387,3.393802617,2.393802617,9.94254593,916.3643053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,4,18,6,49,18,14,2.8302,8.01003204,174.2531,2.909,4.43,103.407271,118.03,613.3628054,59.896729,0.797526686,-0.377281999,-0.164780511,0.279028278,-0.05950112,49.89777765,52.32255111,74.75838599,75.03126441,77.4148951,0,2,23328.97984,19592.41126,3736.56858,1.190715095,6.243423436,5.243423436,11.06633839,959.5055146,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
5,1,0,4,31,0,7,-0.0992,0.00984064,105.6455,4.574,3.55,70.254548,72.83,404.2562745,45.103452,0.620561127,-0.30727256,0.092195261,-0.183417844,0.099150669,32.87234518,33.32464384,48.86985784,51.64928768,50.86613377,0,0,6917.672698,4695.328488,2222.34421,1.473309634,3.11278184,2.11278184,8.045092961,608.2858134,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
12,3,10,8,37,10,11,-0.1801,0.03243601,136.0305,-3.043,1.68,68.824239,251.3,525.1035134,42.117761,0.912352955,-0.506029597,0.052046751,0.233313085,-0.350960278,58.72095797,51.7535671,75.05646365,73.22976077,78.39579073,3,1,19255.69011,17790.33173,1465.358384,1.082368244,13.14060118,12.14060118,9.752409625,823.1628723,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
3,2,0,2,10,0,5,-0.6141,0.37711881,42.6388,1.275,2.01,28.119481,63.32,159.1259289,18.882519,0.222420668,-0.101924748,0.014249509,0.008043552,-0.085845774,12.90891837,10.83036589,13.60483492,10.99654782,12.66073177,1,1,997.2661277,827.7895688,169.4765589,1.204733866,5.884389761,4.884389761,4.527823945,394.1605522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,12,8,25,12,6,3.1064,9.64972096,88.955,3.071,3.11,52.282239,39.72,313.1677938,31.551761,0.54439651,-0.252040659,-0.267821927,0.336915889,-0.056605813,25.68338741,27.32491573,35.65328364,37.92531742,36.0405633,0,1,3842.34601,2237.036443,1605.309567,1.717605461,2.393523398,1.393523398,6.937495902,578.1693363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,9,10,21,10,2,-1.4296,2.04375616,65.6651,-0.105,1.57,35.687516,119.31,285.062867,20.734484,0.701264551,-0.41622953,0.11554235,-0.175431598,0.265697219,30.83625852,25.94195788,41.03381138,40.0208814,39.34453608,0,0,3906.989074,3095.890816,811.0982579,1.261991881,4.816912176,3.816912176,6.869626486,528.6723905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2,12,6,21,12,2,2.3123,5.34673129,68.3813,2.653,2.67,38.205516,58.2,252.0898777,16.354484,0.360700375,-0.215546525,0.127211038,-0.16348005,0.068902416,21.26889867,22.32891169,33.0171848,35.21101308,37.09647636,0,0,2054.890445,1129.59378,925.296665,1.819141076,2.220790934,1.220790934,5.671189881,465.3395924,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
